Confirmed,Deaths,Recovered,Active,Country,code
41268.0,1532.0,34239.0,5497.0,Afghanistan,AFG
20315.0,499.0,11007.0,8809.0,Albania,ALB
57332.0,1949.0,39635.0,15748.0,Algeria,DZA
4567.0,73.0,3260.0,1234.0,Andorra,AND
10269.0,275.0,3736.0,6258.0,Angola,AGO
124.0,3.0,115.0,6.0,Antigua and Barbuda,ATG
1143800.0,30442.0,946134.0,167224.0,Argentina,ARG
85034.0,1272.0,53257.0,30505.0,Armenia,ARM
27579.0,907.0,25239.0,1433.0,Australia,AUS
93949.0,1056.0,63366.0,29527.0,Austria,AUT
53152.0,708.0,42516.0,9928.0,Azerbaijan,AZE
6607.0,138.0,4257.0,2212.0,Bahamas,BHS
81262.0,317.0,78102.0,2843.0,Bahrain,BHR
404760.0,5886.0,321281.0,77593.0,Bangladesh,BGD
234.0,7.0,217.0,10.0,Barbados,BRB
96529.0,973.0,85332.0,10224.0,Belarus,BLR
392258.0,11308.0,24443.0,356507.0,Belgium,BEL
3261.0,52.0,2076.0,1133.0,Belize,BLZ
2643.0,41.0,2330.0,272.0,Benin,BEN
346.0,0.0,316.0,30.0,Bhutan,BTN
141484.0,8705.0,110759.0,22020.0,Bolivia,BOL
46639.0,1182.0,27580.0,17877.0,Bosnia and Herzegovina,BIH
6642.0,24.0,4676.0,1942.0,Botswana,BWA
5494376.0,158969.0,4962574.0,372833.0,Brazil,BRA
148.0,3.0,143.0,2.0,Brunei,BRN
48150.0,1225.0,19695.0,27230.0,Bulgaria,BGR
2471.0,67.0,2211.0,193.0,Burkina Faso,BFA
50403.0,1199.0,30007.0,19197.0,Burma,MMR
560.0,1.0,511.0,48.0,Burundi,BDI
8603.0,95.0,7796.0,712.0,Cabo Verde,CPV
291.0,0.0,283.0,8.0,Cambodia,KHM
21793.0,426.0,20117.0,1250.0,Cameroon,CMR
231383.0,10127.0,194105.0,,Canada,CAN
4863.0,62.0,1924.0,2877.0,Central African Republic,CAF
1473.0,97.0,1307.0,69.0,Chad,TCD
507050.0,14118.0,483922.0,,Chile,CHL
91299.0,4739.0,86082.0,478.0,China,CHN
1048055.0,30926.0,950348.0,66781.0,Colombia,COL
517.0,7.0,494.0,16.0,Comoros,COM
5290.0,92.0,3887.0,1311.0,Congo (Brazzaville),COG
11211.0,305.0,10509.0,397.0,Congo (Kinshasa),COD
107570.0,1357.0,65666.0,40547.0,Costa Rica,CRI
20628.0,124.0,20310.0,194.0,Cote d'Ivoire,CIV
43775.0,511.0,29233.0,14031.0,Croatia,HRV
6766.0,128.0,6132.0,506.0,Cuba,CUB
4051.0,25.0,1882.0,2144.0,Cyprus,CYP
310068.0,2862.0,128628.0,178578.0,Czechia,CZE
44545.0,716.0,34096.0,9733.0,Denmark,DNK
712.0,13.0,659.0,40.0,Diamond Princess,0
5558.0,61.0,5431.0,66.0,Djibouti,DJI
38.0,0.0,29.0,9.0,Dominica,DMA
125913.0,2234.0,103944.0,19735.0,Dominican Republic,DOM
166302.0,12622.0,141759.0,11921.0,Ecuador,ECU
107209.0,6247.0,99273.0,1689.0,Egypt,EGY
33445.0,967.0,29186.0,3292.0,El Salvador,SLV
5083.0,83.0,4964.0,36.0,Equatorial Guinea,GNQ
461.0,0.0,405.0,56.0,Eritrea,ERI
4671.0,73.0,3684.0,914.0,Estonia,EST
5899.0,117.0,5542.0,240.0,Eswatini,SWZ
95301.0,1457.0,50753.0,43091.0,Ethiopia,ETH
34.0,2.0,31.0,1.0,Fiji,FJI
15566.0,354.0,11300.0,3912.0,Finland,FIN
1327852.0,36058.0,120723.0,1171071.0,France,FRA
8957.0,55.0,8619.0,283.0,Gabon,GAB
3666.0,119.0,2666.0,881.0,Gambia,GMB
35567.0,273.0,16904.0,18390.0,Georgia,GEO
498354.0,10305.0,340436.0,147613.0,Germany,DEU
48055.0,320.0,47169.0,566.0,Ghana,GHA
35510.0,615.0,1347.0,33548.0,Greece,GRC
28.0,0.0,24.0,4.0,Grenada,GRD
106790.0,3704.0,96187.0,6899.0,Guatemala,GTM
12020.0,71.0,10550.0,1399.0,Guinea,GIN
2403.0,41.0,1818.0,544.0,Guinea-Bissau,GNB
4098.0,123.0,3154.0,821.0,Guyana,GUY
9057.0,232.0,7429.0,1396.0,Haiti,HTI
27.0,0.0,15.0,12.0,Holy See,VAT
96150.0,2661.0,39804.0,53685.0,Honduras,HND
68127.0,1634.0,17469.0,49024.0,Hungary,HUN
4719.0,12.0,3701.0,1006.0,Iceland,ISL
8088851.0,121090.0,7373375.0,594386.0,India,IND
404048.0,13701.0,329778.0,60569.0,Indonesia,IDN
596941.0,34113.0,472598.0,90230.0,Iran,IRN
467755.0,10815.0,394386.0,62554.0,Iraq,IRQ
60297.0,1902.0,23364.0,35031.0,Ireland,IRL
313114.0,2508.0,299439.0,11167.0,Israel,ISR
616595.0,38122.0,279282.0,299191.0,Italy,ITA
8927.0,202.0,4429.0,4296.0,Jamaica,JAM
99674.0,1748.0,90624.0,7302.0,Japan,JPN
65385.0,740.0,7508.0,57137.0,Jordan,JOR
111492.0,1825.0,106187.0,3480.0,Kazakhstan,KAZ
52612.0,964.0,35604.0,16044.0,Kenya,KEN
26385.0,463.0,24227.0,1695.0,"Korea, South",KOR
18626.0,673.0,15290.0,2663.0,Kosovo,XKX
124666.0,767.0,115475.0,8424.0,Kuwait,KWT
57798.0,1139.0,49097.0,7562.0,Kyrgyzstan,KGZ
24.0,0.0,22.0,2.0,Laos,LAO
5395.0,64.0,1406.0,3925.0,Latvia,LVA
77778.0,610.0,39123.0,38045.0,Lebanon,LBN
1947.0,43.0,975.0,929.0,Lesotho,LSO
1426.0,82.0,1279.0,65.0,Liberia,LBR
59656.0,831.0,33550.0,25275.0,Libya,LBY
476.0,1.0,265.0,210.0,Liechtenstein,LIE
13088.0,150.0,4582.0,8356.0,Lithuania,LTU
16356.0,150.0,9865.0,6341.0,Luxembourg,LUX
9.0,2.0,0.0,7.0,MS Zaandam,0
16968.0,244.0,16301.0,423.0,Madagascar,MDG
5916.0,184.0,5303.0,429.0,Malawi,MWI
30090.0,246.0,19757.0,10087.0,Malaysia,MYS
11616.0,37.0,10733.0,846.0,Maldives,MDV
3537.0,136.0,2686.0,715.0,Mali,MLI
5866.0,59.0,3880.0,1927.0,Malta,MLT
2.0,0.0,0.0,2.0,Marshall Islands,MHL
7700.0,163.0,7416.0,121.0,Mauritania,MRT
439.0,10.0,389.0,40.0,Mauritius,MUS
912811.0,90773.0,770007.0,52031.0,Mexico,MEX
74233.0,1747.0,54495.0,17991.0,Moldova,MDA
347.0,2.0,264.0,81.0,Monaco,MCO
340.0,0.0,313.0,27.0,Mongolia,MNG
17746.0,290.0,13727.0,3729.0,Montenegro,MNE
212038.0,3572.0,174911.0,33555.0,Morocco,MAR
12525.0,91.0,10001.0,2433.0,Mozambique,MOZ
12858.0,133.0,10972.0,1753.0,Namibia,NAM
164718.0,904.0,124862.0,38952.0,Nepal,NPL
336629.0,7321.0,5804.0,323504.0,Netherlands,NLD
1950.0,25.0,1857.0,68.0,New Zealand,NZL
5514.0,156.0,4225.0,1133.0,Nicaragua,NIC
1219.0,69.0,1135.0,15.0,Niger,NER
62521.0,1141.0,58249.0,3131.0,Nigeria,NGA
29558.0,977.0,19994.0,8587.0,North Macedonia,MKD
19564.0,281.0,11863.0,7420.0,Norway,NOR
114434.0,1208.0,103060.0,10166.0,Oman,OMN
332186.0,6795.0,313527.0,11864.0,Pakistan,PAK
132045.0,2678.0,108342.0,21025.0,Panama,PAN
589.0,7.0,575.0,7.0,Papua New Guinea,PNG
62050.0,1373.0,41800.0,18877.0,Paraguay,PRY
894928.0,34315.0,819717.0,40896.0,Peru,PER
376935.0,7147.0,329848.0,39940.0,Philippines,PHL
319205.0,5149.0,129267.0,184789.0,Poland,POL
132616.0,2428.0,75702.0,54486.0,Portugal,PRT
132150.0,231.0,129124.0,2795.0,Qatar,QAT
229040.0,6764.0,163852.0,58424.0,Romania,ROU
1570446.0,27111.0,1179465.0,363870.0,Russia,RUS
5131.0,35.0,4851.0,245.0,Rwanda,RWA
19.0,0.0,19.0,0.0,Saint Kitts and Nevis,KNA
76.0,0.0,27.0,49.0,Saint Lucia,LCA
74.0,0.0,70.0,4.0,Saint Vincent and the Grenadines,VCT
928.0,42.0,721.0,165.0,San Marino,SMR
944.0,16.0,904.0,24.0,Sao Tome and Principe,STP
346482.0,5363.0,333005.0,8114.0,Saudi Arabia,SAU
15593.0,323.0,14660.0,610.0,Senegal,SEN
43592.0,809.0,0.0,42783.0,Serbia,SRB
153.0,0.0,149.0,4.0,Seychelles,SYC
2362.0,74.0,1795.0,493.0,Sierra Leone,SLE
57994.0,28.0,57899.0,67.0,Singapore,SGP
51728.0,200.0,12227.0,39301.0,Slovakia,SVK
30705.0,292.0,10401.0,20012.0,Slovenia,SVN
8.0,0.0,4.0,4.0,Solomon Islands,SLB
3941.0,104.0,3185.0,652.0,Somalia,SOM
721770.0,19164.0,649935.0,52671.0,South Africa,ZAF
2903.0,58.0,1290.0,1555.0,South Sudan,SSD
1160083.0,35639.0,150376.0,974068.0,Spain,ESP
9791.0,19.0,4142.0,5630.0,Sri Lanka,LKA
13772.0,837.0,6764.0,6171.0,Sudan,SDN
5197.0,111.0,5053.0,33.0,Suriname,SUR
121167.0,5934.0,0.0,115233.0,Sweden,SWE
145044.0,2200.0,65100.0,77744.0,Switzerland,CHE
5633.0,281.0,1898.0,3454.0,Syria,SYR
553.0,7.0,513.0,33.0,Taiwan*,TWN
10939.0,82.0,10128.0,729.0,Tajikistan,TJK
509.0,21.0,183.0,305.0,Tanzania,TZA
3775.0,59.0,3585.0,131.0,Thailand,THA
30.0,0.0,29.0,1.0,Timor-Leste,TLS
2296.0,55.0,1627.0,614.0,Togo,TGO
5636.0,107.0,4293.0,1236.0,Trinidad and Tobago,TTO
54278.0,1153.0,5032.0,48093.0,Tunisia,TUN
370832.0,10099.0,320762.0,39971.0,Turkey,TUR
8944934.0,228656.0,3554336.0,,US,USA
12201.0,108.0,7461.0,4632.0,Uganda,UGA
381664.0,7058.0,158208.0,216398.0,Ukraine,UKR
130336.0,488.0,126147.0,3701.0,United Arab Emirates,ARE
968456.0,46045.0,2799.0,919612.0,United Kingdom,GBR
3044.0,57.0,2504.0,483.0,Uruguay,URY
66392.0,561.0,63581.0,2250.0,Uzbekistan,UZB
91280.0,789.0,85897.0,4594.0,Venezuela,VEN
1177.0,35.0,1062.0,80.0,Vietnam,VNM
52571.0,473.0,45448.0,6650.0,West Bank and Gaza,PS
10.0,1.0,8.0,1.0,Western Sahara,ESH
2062.0,599.0,1366.0,97.0,Yemen,YEM
16325.0,348.0,15585.0,392.0,Zambia,ZMB
8349.0,242.0,7864.0,243.0,Zimbabwe,ZWE
